gba_product_class,gba_product_type,gnv_prod_id,gnv_prod_name,gnv_tariff_id,gnv_tariff_name,sbl_prod_id,sbl_prod_desc,sbl_curncy
ADSL,ADSL,49,ADSL,13403,Home DP4 SM,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFVX,ADSL Πρόσβαση X,EUR
Telephony,PSTN,22,Τηλεφωνική σύνδεση,21890,Home DP24 XL,1-65TVP,Τηλεφωνία,EUR
TELEPHONY,PSTN,22,Τηλεφωνική σύνδεση,21890,Home DP24 XL,1-65TVP,Τηλεφωνία,USD
TELEPHONY,PSTN,22,Τηλεφωνική σύνδεση,21890,Home DP24 XL,1-65TVP,,USD
CONNX_TV_SAT,CONNX_TV_SAT_BASIC,639,OTE TV SAT,31772,COSMOTE TV Full Mack,1-75TVI,COSMOTE TV,USD
CONNX_TV,CONNX_TV_SAT_BASIC,,,,,1-75TVI,COSMOTE TV,EUR
ADSL,ADSL,448,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
ADSL,ADSL,48,ADSL,13403,Home DP4 S,1-69QFV,ADSL Πρόσβαση,EUR
